id,ist_ppn,titel,autor,autor_key,autor_original,jahr,jahr_quelle,reihe,band,band_key,startseite,endseite,abbilder,tafeln,tabellen,figuren,link
094932654,True,"Brevis designatio meditationum de Originibus Gentium, ductis potissimum ex indicio linguarum","Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,1,16,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000025
094930287,True,Oedipus Chymicus aenigmatis Graeci et Germanici,"Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,16,22,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000040
094965692,True,"Annotatio de quibusdam Ludis; inprimis de Ludo quodam Sinico, differentiaque Scachici et Latrunculorum, et novo genere Ludi Navalis","Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,22,26,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000046
094936935,True,Specimen observationum Historicarum in Lucianum,"La Croze, Mathurin Veyssière de",la-croze-mathurin-veyssiere-de,"La Croze, Mathurin Veyssière de",1710,csv,01-misc,1,01-misc/1,27,32,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000051
094931364,True,"De Nummo Phidonis argenteo, in Regia Brandenburgensi Gaza asservato, Disquisitio Antiquaria ..","Schott, Johann Karl",schott-johann-karl,"Schott, Johann Karl",1710,csv,01-misc,1,01-misc/1,33,59,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000057
094945101,True,Origo quorundam vocabulorum Germanicorum et cum aliis linguis affinitas,"Frisch, Johann Leonhard",frisch-johann-leonhard,"Frisch, Johann Leonhard",1710,csv,01-misc,1,01-misc/1,60,83,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000084
094939187,True,"De Libris Sinensibus Bibliothecae Regiae Berolinensis: ubi praecipue de insigni Lexico Sinico-Hispanico R. P. Francisci Diaz, Ordinis Fratrum Praedicatorum","La Croze, Mathurin Veyssière de",la-croze-mathurin-veyssiere-de,"La Croze, Mathurin Veyssière de",1710,csv,01-misc,1,01-misc/1,84,88,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000108
094925054,True,Historia inventionis Phosphori,"Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,91,98,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000115
094927138,True,"Epistola ad Autorem Dissertationis de figuris animalium quae in lapidibus observantur, et Lithozoorum nomine venire possent [d. i. Christian Maximilian Spener]","Leibniz, Gottfried Wilhelm Freiherr von",leibniz-gottfried-wilhelm-freiherr-von,"Leibniz, Gottfried Wilhelm Freiherr von",1710,csv,01-misc,1,01-misc/1,118,120,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000142
094954275,True,Nova circa Vapores Hypothesis,"Chauvin, Étienne",chauvin-etienne,"Chauvin, Étienne",1710,csv,01-misc,1,01-misc/1,120,122,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000144
