autor_key,autor,abhandlungen,jahr_von,jahr_bis,reihen
ehrenberg-christian-gottfried,"Ehrenberg, Christian Gottfried",303,1830,1876,07-abh;08-verh;09-mon
peters-wilhelm,"Peters, Wilhelm",274,1844,1883,08-verh;09-mon;10-sitz
dove-heinrich-wilhelm,"Dove, Heinrich Wilhelm",182,1837,1877,07-abh;08-verh;09-mon
bekker-immanuel,"Bekker, Immanuel",162,1829,1871,07-abh;08-verh;09-mon
rose-heinrich,"Rose, Heinrich",151,1833,1863,07-abh;08-verh;09-mon
formey-samuel,"Formey, Samuel",143,1746,1798,02-hist;03-nouv;05-mem
kronecker-leopold,"Kronecker, Leopold",134,1853,1895,07-abh;08-verh;09-mon;10-sitz
euler-leonhard,"Euler, Leonhard",133,1743,1786,01-misc;02-hist;03-nouv;04-phys
encke-johann-franz,"Encke, Johann Franz",118,1826,1862,07-abh;08-verh;09-mon
hofmann-august-wilhelm-von,"Hofmann, August Wilhelm von",114,1856,1890,09-mon;10-sitz
rammelsberg-karl-friedrich,"Rammelsberg, Karl Friedrich",103,1840,1894,07-abh;08-verh;09-mon;10-sitz
muller-johannes,"Müller, Johannes",90,1836,1859,07-abh;08-verh;09-mon
achard-franz-karl,"Achard, Franz Karl",82,1779,1798,03-nouv;05-mem
poggendorff-johann-christian,"Poggendorff, Johann Christian",76,1839,1875,08-verh;09-mon
frisch-johann-leonhard,"Frisch, Johann Leonhard",74,1710,1781,01-misc;04-phys
du-bois-reymond-emil,"Du Bois-reymond, Emil",72,1851,1896,07-abh;08-verh;09-mon;10-sitz
gerhard-eduard,"Gerhard, Eduard",70,1838,1866,07-abh;08-verh;09-mon
beguelin-nikolaus-von,"Beguelin, Nikolaus von",68,1751,1792,02-hist;03-nouv;04-phys;05-mem
schott-wilhelm,"Schott, Wilhelm",67,1842,1888,07-abh;08-verh;09-mon;10-sitz
lagrange-joseph-louis-comte-de,"Lagrange, Joseph Louis Comte de",65,1767,1805,02-hist;03-nouv;05-mem
curtius-ernst,"Curtius, Ernst",65,1853,1896,07-abh;08-verh;09-mon;10-sitz
marggraf-andreas-sigismund,"Marggraf, Andreas Sigismund",65,1740,1786,01-misc;02-hist;03-nouv;04-phys
kirchhoff-adolf,"Kirchhoff, Adolf",61,1859,1895,07-abh;09-mon;10-sitz
merian-johann-bernhard,"Merian, Johann Bernhard",59,1751,1807,02-hist;03-nouv;05-mem
weber-albrecht,"Weber, Albrecht",59,1857,1898,07-abh;09-mon;10-sitz
mommsen-theodor,"Mommsen, Theodor",55,1857,1898,07-abh;09-mon;10-sitz
lepsius-richard,"Lepsius, Richard",55,1837,1891,07-abh;08-verh;09-mon;10-sitz
rose-gustav,"Rose, Gustav",55,1836,1872,07-abh;08-verh;09-mon
lambert-johann-heinrich,"Lambert, Johann Heinrich",53,1767,1786,02-hist;03-nouv;05-mem
bernoulli-johann,"Bernoulli, Johann",53,1710,1807,01-misc;02-hist;03-nouv;05-mem
klaproth-martin-heinrich,"Klaproth, Martin Heinrich",52,1792,1818,05-mem;06-samml;07-abh
bockh-august,"Böckh, August",50,1815,1860,07-abh;08-verh;09-mon
gleditsch-johann-gottlieb,"Gleditsch, Johann Gottlieb",50,1750,1786,02-hist;03-nouv;04-phys;05-mem
riess-peter-theophil,"Riess, Peter Theophil",47,1843,1877,07-abh;08-verh;09-mon
grimm-jakob,"Grimm, Jakob",47,1842,1861,07-abh;08-verh;09-mon
trembley-jean,"Trembley, Jean",45,1777,1807,03-nouv;05-mem
kummer-ernst-eduard,"Kummer, Ernst Eduard",44,1847,1880,07-abh;08-verh;09-mon
weiss-christian-samuel,"Weiss, Christian Samuel",42,1818,1855,07-abh;08-verh
heintz-wilhelm,"Heintz, Wilhelm",40,1844,1874,08-verh;09-mon
hagen-gotthilf,"Hagen, Gotthilf",39,1842,1884,07-abh;08-verh;09-mon;10-sitz
eller-johann-theodor,"Eller, Johann Theodor",39,1734,1786,01-misc;02-hist;04-phys
magnus-gustav,"Magnus, Gustav",37,1841,1870,07-abh;08-verh;09-mon
virchow-rudolf,"Virchow, Rudolf",37,1874,1899,07-abh;09-mon;10-sitz
trendelenburg-friedrich-adolf,"Trendelenburg, Friedrich Adolf",37,1846,1870,07-abh;08-verh;09-mon
pott-johann-heinrich,"Pott, Johann Heinrich",36,1727,1786,01-misc;02-hist;04-phys
link-heinrich-friedrich,"Link, Heinrich Friedrich",35,1818,1851,07-abh;08-verh
karsten-karl-johann-bernhard,"Karsten, Karl Johann Bernhard",35,1825,1854,07-abh;08-verh
helmholtz-hermann-von,"Helmholtz, Hermann von",34,1850,1889,08-verh;09-mon;10-sitz
denina-carlo,"Denina, Carlo",34,1784,1804,03-nouv;05-mem
hermbstaedt-sigismund-friedrich,"Hermbstaedt, Sigismund Friedrich",33,1803,1832,05-mem;06-samml;07-abh
homeyer-karl-gustav,"Homeyer, Karl Gustav",32,1850,1873,07-abh;08-verh;09-mon
mitscherlich-eilhard,"Mitscherlich, Eilhard",32,1820,1866,07-abh;08-verh;09-mon
dirksen-heinrich-eduard,"Dirksen, Heinrich Eduard",32,1842,1864,07-abh;08-verh;09-mon
lichtenstein-hinrich,"Lichtenstein, Hinrich",31,1818,1857,07-abh;08-verh;09-mon
vahlen-johannes,"Vahlen, Johannes",31,1875,1900,07-abh;09-mon;10-sitz
braun-alexander,"Braun, Alexander",30,1852,1883,07-abh;08-verh;09-mon
schwendener-simon,"Schwendener, Simon",30,1880,1899,07-abh;09-mon;10-sitz
kunth-karl-sigismund,"Kunth, Karl Sigismund",30,1832,1850,07-abh;08-verh
sulzer-johann-georg,"Sulzer, Johann Georg",29,1753,1786,02-hist;03-nouv;04-phys;05-mem
fuchs-lazarus,"Fuchs, Lazarus",28,1882,1899,10-sitz
diels-hermann,"Diels, Hermann",28,1882,1900,07-abh;10-sitz
buch-leopold,"Buch, Leopold",28,1815,1852,07-abh;08-verh
zumpt-karl-gottlob,"Zumpt, Karl Gottlob",28,1836,1847,07-abh;08-verh
pertz-georg-heinrich,"Pertz, Georg Heinrich",27,1846,1875,07-abh;08-verh;09-mon
kirch-christfried,"Kirch, Christfried",27,1723,1781,01-misc;04-phys
crelle-august-leopold,"Crelle, August Leopold",27,1832,1853,07-abh;08-verh
panofka-theodor,"Panofka, Theodor",27,1837,1858,07-abh;08-verh;09-mon
roth-justus,"Roth, Justus",26,1867,1887,07-abh;09-mon;10-sitz
weierstrass-karl,"Weierstrass, Karl",26,1857,1891,07-abh;09-mon;10-sitz
dieterici-karl-friedrich-wilhelm,"Dieterici, Karl Friedrich Wilhelm",26,1847,1859,07-abh;08-verh;09-mon
buch-leopold-von,"Buch, Leopold von",25,1819,1852,07-abh;08-verh
pringsheim-nathanael,"Pringsheim, Nathanael",25,1855,1887,07-abh;08-verh;09-mon;10-sitz
kohler-ulrich,"Köhler, Ulrich",25,1864,1898,07-abh;09-mon;10-sitz
schrader-eberhard,"Schrader, Eberhard",24,1876,1895,07-abh;09-mon;10-sitz
ritter-karl,"Ritter, Karl",24,1826,1858,07-abh;08-verh;09-mon
hoffmann-johann-gottfried,"Hoffmann, Johann Gottfried",24,1834,1846,07-abh;08-verh
klug-friedrich,"Klug, Friedrich",24,1832,1855,07-abh;08-verh
bode-johann-elert,"Bode, Johann Elert",23,1792,1815,05-mem;06-samml;07-abh
francheville-joseph-du-fresne-de,"Francheville, Joseph du Fresne de",23,1746,1783,02-hist;03-nouv;04-phys
gerhard-karl-abraham,"Gerhard, Karl Abraham",23,1773,1819,03-nouv;05-mem;06-samml;07-abh
dirichlet-gustav-lejeune,"Dirichlet, Gustav Lejeune",23,1833,1855,07-abh;08-verh
siemens-werner-von,"Siemens, Werner von",22,1864,1890,09-mon;10-sitz
ideler-ludwig,"Ideler, Ludwig",22,1816,1839,07-abh;08-verh
tralles-johann-georg,"Tralles, Johann Georg",22,1807,1822,05-mem;07-abh
panofka-theodor-sigismund,"Panofka, Theodor Sigismund",22,1837,1857,07-abh;08-verh
castillon-johann-von,"Castillon, Johann von",22,1768,1804,02-hist;03-nouv;05-mem
buttmann-philipp,"Buttmann, Philipp",21,1806,1829,06-samml;07-abh
dillmann-august,"Dillmann, August",21,1877,1894,07-abh;09-mon;10-sitz
websky-martin,"Websky, Martin",21,1875,1886,09-mon;10-sitz
meckel-johann-friedrich,"Meckel, Johann Friedrich",21,1751,1786,02-hist;03-nouv;04-phys
zeller-eduard,"Zeller, Eduard",21,1873,1893,07-abh;09-mon;10-sitz
gruson-johann-philipp,"Grüson, Johann Philipp",21,1801,1832,05-mem;07-abh
beyrich-ernst,"Beyrich, Ernst",21,1847,1882,07-abh;08-verh;09-mon;10-sitz
ancillon-ludwig-friedrich,"Ancillon, Ludwig Friedrich",21,1792,1816,05-mem;07-abh
wegelin-jakob,"Wegelin, Jakob",21,1768,1788,02-hist;03-nouv
klotzsch-johann-friedrich,"Klotzsch, Johann Friedrich",20,1851,1860,07-abh;08-verh;09-mon
