autor_key,autor,abhandlungen,jahr_von,jahr_bis,gnd,gnd_name,wikidata,score,abstand,status,geburt,tod,akademiemitglied,berufe,affiliation
ehrenberg-christian-gottfried,"Ehrenberg, Christian Gottfried",303,1830,1876,118529250,"Ehrenberg, Christian Gottfried",Q76549,1.0,1.0,sicher,1795.0,1876.0,True,Naturwissenschaftler; Arzt; Zoologe; Paläontologe,Königliche Akademie der Wissenschaften (Berlin); Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher; Friedrich-Wilhelms-Universität Berlin
peters-wilhelm,"Peters, Wilhelm",274,1844,1883,104356480,"Peters, Wilhelm C. H.",Q58029,1.0,0.35,sicher,1815.0,1883.0,True,Forschungsreisender; Zoologe,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher
dove-heinrich-wilhelm,"Dove, Heinrich Wilhelm",182,1837,1877,116190949,"Dove, Heinrich Wilhelm",Q61697,1.0,1.0,sicher,1803.0,1879.0,True,Physiker; Meteorologe; Hochschullehrer,Friedrich-Wilhelms-Universität Berlin; Friedrich-Wilhelms-Universität Berlin. Meteorologisches Institut; Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher
bekker-immanuel,"Bekker, Immanuel",162,1829,1871,118850210,"Bekker, Immanuel",Q77606,1.0,1.0,sicher,1785.0,1871.0,True,Philologe; Klassischer Philologe; Romanist; Hochschullehrer,Friedrich-Wilhelms-Universität Berlin
rose-heinrich,"Rose, Heinrich",151,1833,1863,118602640,"Rose, Heinrich",Q77286,1.0,0.33,sicher,1795.0,1864.0,True,Chemiker; Pharmazeut; Hochschullehrer,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher
formey-samuel,"Formey, Samuel",143,1746,1798,119353210,"Formey, Jean Henri Samuel",Q88385,1.0,1.0,sicher,1711.0,1797.0,True,Schriftsteller; Sekretär; Theologe; Historiker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher; Königliche Akademie der Wissenschaften (Berlin)
kronecker-leopold,"Kronecker, Leopold",134,1853,1895,118567020,"Kronecker, Leopold",Q76410,1.0,1.0,sicher,1823.0,1891.0,True,Mathematiker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher
euler-leonhard,"Euler, Leonhard",133,1743,1786,118531379,"Euler, Leonhard",Q7604,1.0,1.0,sicher,1707.0,1783.0,True,Mathematiker; Physiker; Physiologe; Arzt,Imperatorskaja akademija nauk; Königliche Akademie der Wissenschaften (Berlin)
encke-johann-franz,"Encke, Johann Franz",118,1826,1862,116471727,"Encke, Johann Franz",Q57294,1.0,1.0,sicher,1791.0,1865.0,True,Astronom; Mathematiker; Hochschullehrer,Königliche Sternwarte zu Berlin; Sternwarte Seeberg; Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher
hofmann-august-wilhelm-von,"Hofmann, August Wilhelm von",114,1856,1890,118552627,"Hofmann, August Wilhelm von",Q76360,1.0,1.0,sicher,1818.0,1892.0,True,Chemiker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher
rammelsberg-karl-friedrich,"Rammelsberg, Karl Friedrich",103,1840,1894,116327480,"Rammelsberg, Carl F.",Q67067,1.0,1.0,sicher,1813.0,1899.0,True,Politiker; Mineraloge; Chemiker,
muller-johannes,"Müller, Johannes",90,1836,1859,118585053,"Müller, Johannes",Q57992,1.0,0.25,sicher,1801.0,1858.0,True,Arzt; Physiologe,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher; Friedrich-Wilhelms-Universität Berlin
achard-franz-karl,"Achard, Franz Karl",82,1779,1798,118643622,"Achard, Franz Carl",Q60193,1.0,1.0,sicher,1753.0,1821.0,True,Chemiker; Physiker; Naturwissenschaftler,Königliche Akademie der Wissenschaften (Berlin); Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher
poggendorff-johann-christian,"Poggendorff, Johann Christian",76,1839,1875,116250836,"Poggendorff, Johann C.",Q61197,1.0,1.0,sicher,1796.0,1877.0,True,Physiker; Apotheker; Wissenschaftshistoriker,
frisch-johann-leonhard,"Frisch, Johann Leonhard",74,1710,1781,118536095,"Frisch, Johann Leonhard",Q97126,1.0,1.0,sicher,1666.0,1743.0,True,Naturwissenschaftler; Linguist; Lexikograf; Gymnasiallehrer,Berlinisches Gymnasium Zum Grauen Kloster; Sacri Romani Imperii Academia Caesareo-Leopoldina Naturae Curiosorum
du-bois-reymond-emil,"Du Bois-reymond, Emil",72,1851,1896,118527665,"Du Bois-Reymond, Emil",Q76571,1.0,1.0,sicher,1818.0,1896.0,True,Arzt; Philosoph; Physiologe; Hochschullehrer,Friedrich-Wilhelms-Universität Berlin; Preußische Akademie der Wissenschaften; Königliche Akademie der Wissenschaften (Berlin)
gerhard-eduard,"Gerhard, Eduard",70,1838,1866,118717030,"Gerhard, Eduard",Q66921,1.0,1.0,sicher,1795.0,1867.0,True,Archäologe; Lehrer; Bibliothekar; Schriftsteller,
beguelin-nikolaus-von,"Beguelin, Nikolaus von",68,1751,1792,116109238,"Béguelin, Nikolaus von",Q3340917,1.0,1.0,sicher,1714.0,1789.0,True,Mathematiker; Physiker,
schott-wilhelm,"Schott, Wilhelm",67,1842,1888,100816525,"Schott, Wilhelm",Q76634,1.0,0.35,sicher,1802.0,1889.0,True,Philologe; Sinologe; Finnougrist; Orientalist,
