kuerzel,titel,jahr_von,jahr_bis,baende,abhandlungen
01-misc,"Miscellanea Berolinensia ad incrementum scientiarum, ex scriptis Societati Regiae Scientiarum exhibitis edita",1710,1744,8,288
02-hist,Histoire de l'Académie Royale des Sciences et des Belles-Lettres de Berlin,1746,1771,26,605
03-nouv,Nouveaux Mémoires de l'Académie Royale des Sciences et Belles-Lettre,1772,1788,17,560
04-phys,Physikalische und medicinische Abhandlungen der Königlichen Academie der Wissenschaften zu Berlin,1781,1786,4,188
05-mem,Mémoires de l'Académie Royale des Sciences et Belles-Lettres,1792,1807,25,426
06-samml,"Sammlung der deutschen Abhandlungen, welche in der Königlichen Akademie der Wissenschaften zu Berlin vorgelesen worden",1793,1806,6,98
07-abh,Abhandlungen der Königlichen Preußischen Akademie der Wissenschaften zu Berlin,1815,1900,91,1388
08-verh,Bericht über die zur Bekanntmachung geeigneten Verhandlungen der Königlich Preußischen Akademie der Wissenschaften zu Berlin,1836,1855,20,1390
09-mon,Monatsberichte der Königlich Preußischen Akademie der Wissenschaften zu Berlin,1856,1881,26,2068
10-sitz,Sitzungsberichte der Königlich Preußischen Akademie der Wissenschaften zu Berlin,1868,1899,35,1423
ak-gesch,Monographien zur Geschichte der Akademie bis 1900,1711,1950,7,7
