quelle,typ,ziel,ziel_vorhanden
094924228,Übersetzung,094952450,True
094976171,Übersetzung,094897557,True
094938598,Übersetzung,094909237,True
094946361,Übersetzung,094930635,True
09490698X,Übersetzung,094938369,True
094901481,Übersetzung,094958564,True
094958491,Übersetzung,094954372,True
094945330,Verweis,NEU-094945330-1,True
094956340,Verweis,NEU-094956340-2,True
094966869,Verweis,094929823,True
094929823,Verweis,094966869,True
094934142,Auszug,NEU-094934142-3,True
094926832,Auszug,NEU-094926832-4,True
NEU-094934142-3,Volltext,094934142,True
NEU-094926832-4,Volltext,094926832,True
094945861,Verweis,NEU-094945861-5,True
094945942,Verweis,NEU-094945942-6,True
094950334,Verweis,NEU-094950334-7,True
094912947,Verweis,NEU-094912947-8,True
094955808,Verweis,NEU-094955808-9,True
094955824,Verweis,NEU-094955824-10,True
09495836X,Verweis,NEU-09495836X-11,True
09496078X,Verweis,NEU-09496078X-12,True
094962464,Verweis,NEU-094962464-13,True
094897565,Verweis,NEU-094897565-14,True
094956731,Verweis,NEU-094956731-15,True
094957096,Verweis,NEU-094957096-16,True
094951187,Verweis,NEU-094951187-17,True
094975892,Verweis,NEU-094975892-18,True
094952450,Original,094924228,True
094897557,Original,094976171,True
094909237,Original,094938598,True
094930635,Original,094946361,True
094938369,Original,09490698X,True
094958564,Original,094901481,True
094954372,Original,094958491,True
NEU-094945330-1,Verweis,094945330,True
NEU-094956340-2,Verweis,094956340,True
NEU-094945861-5,Verweis,094945861,True
NEU-094945942-6,Verweis,094945942,True
NEU-09496078X-12,Verweis,09496078X,True
NEU-09495836X-11,Verweis,09495836X,True
NEU-094956731-15,Verweis,094956731,True
NEU-094950334-7,Verweis,094950334,True
NEU-094912947-8,Verweis,094912947,True
NEU-094955824-10,Verweis,094955824,True
NEU-094955808-9,Verweis,094955808,True
NEU-094897565-14,Verweis,094897565,True
NEU-094957096-16,Verweis,094957096,True
NEU-094962464-13,Verweis,094962464,True
NEU-094951187-17,Verweis,094951187,True
NEU-094975892-18,Verweis,094975892,True
094952523,Verweis,094937079,True
094939837,Verweis,094927391,True
NEU-094942315-19,Verweis,094942315,True
094946191,Original,094942528,True
094920206,Original,09496629X,True
094965617,Original,094898715,True
094958483,Original,094897948,True
09497134X,Verweis,094939705,True
09497134X,Verweis,09493049X,True
09497134X,Verweis,094967601,True
094927391,Verweis,094939837,True
094927529,Original,094927049,True
094925615,Verweis,094925542,True
094925615,Verweis,09491785X,True
094925615,Verweis,094930538,True
094971196,Original,094927545,True
094970610,Original,094940940,True
094943117,Original,094975426,True
094939705,Verweis,09497134X,True
094960410,Original,094903700,True
094947309,Original,094975906,True
094946612,Verweis,094952264,True
094925542,Verweis,094925615,True
094901937,Original,094970874,True
094902895,Original,094966923,True
09495741X,Original,094925631,True
09493049X,Verweis,09497134X,True
094951691,Verweis,094918643,True
09492628X,Original,094975418,True
094952264,Verweis,094946612,True
094918643,Verweis,094951691,True
094967601,Verweis,09497134X,True
09491785X,Verweis,094925615,True
094942315,Verweis,NEU-094942315-19,True
094938261,Original,09497599X,True
094975833,Verweis,094975825,True
094923426,Original,094975965,True
094930538,Verweis,094925615,True
09492242X,Verweis,094939721,True
09492998X,Original,094963924,True
094959285,Original,094961905,True
094947317,Original,094930554,True
09491883X,Original,094967059,True
094930317,Original,094928134,True
09494850X,Original,094929793,True
09494850X,Original,094930058,True
09494850X,Original,094897603,True
09494850X,Original,094927634,True
09494850X,Original,094926697,True
094901139,Original,094923248,True
094912602,Original,094975310,True
09496274X,Original,094902704,True
094945349,Original,094941793,True
094923132,Original,094901112,True
094926557,Original,094975728,True
094905894,Original,094906777,True
094939721,Verweis,09492242X,True
094948518,Original,094929793,True
094948518,Original,094930058,True
094948518,Original,094897603,True
094948518,Original,094927634,True
094948518,Original,094926697,True
094970548,Original,094929793,True
094970548,Original,094930058,True
094970548,Original,094897603,True
094970548,Original,094927634,True
094970548,Original,094926697,True
