autor_key,autor,jahr_von,jahr_bis,rang,score,gnd,gnd_name,geburt,tod,akademiemitglied,berufe,affiliation,lobid
heintz-wilhelm,"Heintz, Wilhelm",1844,1874,1,0.75,116673737,"Heintz, Wilhelm Heinrich",1817.0,1880.0,False,Chemiker; Hochschullehrer; Apotheker,Universität Halle (Saale),https://lobid.org/gnd/116673737
heintz-wilhelm,"Heintz, Wilhelm",1844,1874,2,0.75,12039619X,"Heintz, Wilhelm",1816.0,1843.0,False,Arzt,Literarischer Sonntags-Verein (Tunnel über der Spree) zu Berlin,https://lobid.org/gnd/12039619X
fritsch-gustav,"Fritsch, Gustav",1875,1896,1,0.825,115568808,"Fritsch, Gustav",1838.0,1927.0,False,Anthropologe; Arzt; Naturwissenschaftler; Physiologe,Friedrich-Wilhelms-Universität Berlin. Anatomisches Institut Berlin 1; Friedrich-Wilhelms-Universität Berlin. Physiologisches Institut; Friedrich-Wilhelms-Universität Berlin,https://lobid.org/gnd/115568808
fritsch-gustav,"Fritsch, Gustav",1875,1896,2,0.75,136029256,"Fritsch, Gustav",1806.0,1878.0,False,Jurist; Abgeordneter,,https://lobid.org/gnd/136029256
klein-karl,"Klein, Karl",1887,1899,1,0.75,116212349,"Klein, Karl",1819.0,1898.0,False,Bischof; Katholischer Theologe,Katholische Kirche. Diözese Limburg,https://lobid.org/gnd/116212349
klein-karl,"Klein, Karl",1887,1899,2,0.75,1273225031,"Klein, Carl",1861.0,1939.0,False,Pfarrer; Bibliothekar,,https://lobid.org/gnd/1273225031
klein-karl,"Klein, Karl",1887,1899,3,0.75,1328275760,"Klein-Hamburg, Karl",1843.0,,False,Schriftsteller,,https://lobid.org/gnd/1328275760
bastide-jean-baptiste,"Bastide, Jean Baptiste",1798,1807,1,0.75,1248806395,"Martin de la Bastide, Jean Baptiste",1760.0,1815.0,False,Kartograf; Essayist,,https://lobid.org/gnd/1248806395
bastide-jean-baptiste,"Bastide, Jean Baptiste",1798,1807,2,0.65,116080906,"Bastide, Jean-Baptiste",1737.0,1810.0,False,,,https://lobid.org/gnd/116080906
bastide-jean-baptiste,"Bastide, Jean Baptiste",1798,1807,3,0.65,122390784,"La Bastide, Jean-Baptiste Gallois de",1765.0,1817.0,False,,,https://lobid.org/gnd/122390784
kayser-heinrich,"Kayser, Heinrich",1884,1897,1,0.825,119464748,"Kayser, Heinrich",1853.0,1940.0,False,Physiker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher; Technische Hochschule Hannover; Friedrich-Wilhelms-Universität Berlin,https://lobid.org/gnd/119464748
kayser-heinrich,"Kayser, Heinrich",1884,1897,2,0.75,1033293350,"Kayser, Heinrich",1863.0,,False,Arzt,,https://lobid.org/gnd/1033293350
kayser-heinrich,"Kayser, Heinrich",1884,1897,3,0.65,119288540,"Kayser, Heinrich",1842.0,1917.0,False,Architekt,,https://lobid.org/gnd/119288540
weber-rudolf,"Weber, Rudolf",1856,1883,1,0.67,1162236353,"Fricke, Wilhelm",1839.0,1908.0,False,Lehrer; Schriftsteller,,https://lobid.org/gnd/1162236353
weber-rudolf,"Weber, Rudolf",1856,1883,2,0.225,1181258480,"Weber, Rudolf",1842.0,1905.0,False,Forstwissenschaftler,Ludwig-Maximilians-Universität München,https://lobid.org/gnd/1181258480
weber-rudolf,"Weber, Rudolf",1856,1883,3,0.225,130016195,"Weber, Rudolf",1843.0,1915.0,False,Schriftsteller,,https://lobid.org/gnd/130016195
schneider-robert,"Schneider, Robert",1855,1890,1,0.75,116837098,"Schneider, Robert",1807.0,1871.0,False,Jurist; Politiker; Justizminister,,https://lobid.org/gnd/116837098
schneider-robert,"Schneider, Robert",1855,1890,2,0.75,11682459X,"Schneider, Ernst Robert",1825.0,1900.0,False,Chemiker,,https://lobid.org/gnd/11682459X
schneider-robert,"Schneider, Robert",1855,1890,3,0.67,10428398X,"Schneider, Robert",1839.0,,False,Klassischer Philologe; Oberlehrer,,https://lobid.org/gnd/10428398X
studer-theophil,"Studer, Theophil",1876,1885,1,0.75,117354120,"Studer, Theophil",1845.0,1922.0,False,Zoologe; Arzt,Universität Bern,https://lobid.org/gnd/117354120
studer-theophil,"Studer, Theophil",1876,1885,2,0.67,117354058,"Studer, Gottlieb Ludwig",1801.0,1889.0,False,Historiker; Theologe; Hochschullehrer,Universität Bern,https://lobid.org/gnd/117354058
vogel-hermann-wilhelm,"Vogel, Hermann Wilhelm",1862,1888,1,0.75,1048190714,"Vogel, Hermann",1841.0,1917.0,False,Unternehmer; Kunstsammler; Numismatiker; Geheimer Rat,,https://lobid.org/gnd/1048190714
vogel-hermann-wilhelm,"Vogel, Hermann Wilhelm",1862,1888,2,0.725,117463191,"Vogel, Hermann Wilhelm",1834.0,1898.0,False,,Technische Hochschule Berlin; Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/117463191
konig-arthur,"König, Arthur",1884,1897,1,0.75,116302747,"König, Arthur",1856.0,1901.0,False,Physiker; Physiologe,,https://lobid.org/gnd/116302747
konig-arthur,"König, Arthur",1884,1897,2,0.75,116302755,"König, Arthur",1843.0,1921.0,False,Katholischer Religionslehrer; Katholischer Theologe; Dompropst,Universität Breslau,https://lobid.org/gnd/116302755
konig-arthur,"König, Arthur",1884,1897,3,0.65,1247002357,"König, Arthur",1859.0,1945.0,False,Forstamtsleiter,,https://lobid.org/gnd/1247002357
hirschfeld-gustav,"Hirschfeld, Gustav",1874,1888,1,0.75,101160097,"Hirschfeld, Gustav",1847.0,1895.0,False,Archäologe,Albertus-Universität zu Königsberg i. Pr.,https://lobid.org/gnd/101160097
hirschfeld-gustav,"Hirschfeld, Gustav",1874,1888,2,0.75,116188898,"Birch-Hirschfeld, Adolf",1849.0,1917.0,False,Philologe; Romanist; Hochschullehrer,Justus-Liebig-Universität Gießen; Universität Leipzig,https://lobid.org/gnd/116188898
hirschfeld-gustav,"Hirschfeld, Gustav",1874,1888,3,0.67,12306483X,"Hirschfeld, Gustav",1857.0,1938.0,False,Politiker,,https://lobid.org/gnd/12306483X
karsten-hermann,"Karsten, Hermann",1849,1860,1,0.825,116186909,"Karsten, Hermann",1817.0,1908.0,False,Biologe; Botaniker; Geologe; Forschungsreisender,Universität Wien; Friedrich-Wilhelms-Universität Berlin; Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/116186909
karsten-hermann,"Karsten, Hermann",1849,1860,2,0.825,116186887,"Karsten, Hermann",1809.0,1877.0,False,Geologe; Mathematiker,Kaiserlich Leopoldinisch-Carolinische Deutsche Akademie der Naturforscher,https://lobid.org/gnd/116186887
karsten-hermann,"Karsten, Hermann",1849,1860,3,0.75,120907690,"Karsten, Hermann",1801.0,1882.0,False,Diakon; Superintendent; Evangelischer Theologe; Evangelischer Religionslehrer,,https://lobid.org/gnd/120907690
naude-philipp-der-jungere,"Naude, Philipp der jüngere",1710,1746,1,1.0,138677123,"Naudé, Philipp",1684.0,1745.0,True,Mathematiker,,https://lobid.org/gnd/138677123
naude-philipp-der-jungere,"Naude, Philipp der jüngere",1710,1746,2,1.0,129964026,"Naudé, Philippe",1654.0,1729.0,True,Mathematiker,,https://lobid.org/gnd/129964026
rodiger-emil,"Rödiger, Emil",1864,1876,1,0.65,116581050,"Rödiger, Emil",1801.0,1874.0,False,Orientalist,,https://lobid.org/gnd/116581050
wulff-ludwig,"Wulff, Ludwig",1893,1896,1,0.75,1047477793,"Wulff, Ludwig",1859.0,,False,Arzt,,https://lobid.org/gnd/1047477793
wulff-ludwig,"Wulff, Ludwig",1893,1896,2,0.65,129221341,"Wulff, Heinrich Carl Hans Ludwig",1855.0,1930.0,False,Oberlehrer; Pädagoge,,https://lobid.org/gnd/129221341
wulff-ludwig,"Wulff, Ludwig",1893,1896,3,0.171,1231070544,"Wulff, Ludwig Christoph",1815.0,1882.0,False,,,https://lobid.org/gnd/1231070544
nagel-wilhelm,"Nagel, Wilhelm",1887,1892,1,0.75,1012760375,"Nagel, Wilhelm",1866.0,1945.0,False,Maler; Künstler; Hochschullehrer,,https://lobid.org/gnd/1012760375
nagel-wilhelm,"Nagel, Wilhelm",1887,1892,2,0.75,116880295,"Nagel, Wilhelm",1856.0,1937.0,False,Arzt; Gynäkologe,,https://lobid.org/gnd/116880295
nagel-wilhelm,"Nagel, Wilhelm",1887,1892,3,0.67,1031896074,"Nagel, Wilhelm",1868.0,,False,Arzt,,https://lobid.org/gnd/1031896074
weber-heinrich-friedrich,"Weber, Heinrich Friedrich",1880,1888,1,0.75,117163120,"Weber, Heinrich Friedrich",1843.0,1912.0,False,Physiker; Hochschullehrer,,https://lobid.org/gnd/117163120
