Startseite,Endseite,Abbilder,ID,Titel,Autor,Jahr,Link,Schriftenreihe,Band,Textbeziehungen
1,16,,094932654,"Brevis designatio meditationum de Originibus Gentium, ductis potissimum ex indicio linguarum","Leibniz, Gottfried Wilhelm Freiherr von",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000025,01-misc,1,
16,22,,094930287,Oedipus Chymicus aenigmatis Graeci et Germanici,"Leibniz, Gottfried Wilhelm Freiherr von",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000040,01-misc,1,
22,26,mit 1 Tafel,094965692,"Annotatio de quibusdam Ludis; inprimis de Ludo quodam Sinico, differentiaque Scachici et Latrunculorum, et novo genere Ludi Navalis","Leibniz, Gottfried Wilhelm Freiherr von",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000046,01-misc,1,
27,32,mit 1 Tafel,094936935,Specimen observationum Historicarum in Lucianum,"La Croze, Mathurin Veyssière de",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000051,01-misc,1,
33,59,mit 1 Tafel,094931364,"De Nummo Phidonis argenteo, in Regia Brandenburgensi Gaza asservato, Disquisitio Antiquaria ..","Schott, Johann Karl",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000057,01-misc,1,
60,83,,094945101,Origo quorundam vocabulorum Germanicorum et cum aliis linguis affinitas,"Frisch, Johann Leonhard",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000084,01-misc,1,
84,88,,094939187,"De Libris Sinensibus Bibliothecae Regiae Berolinensis: ubi praecipue de insigni Lexico Sinico-Hispanico R. P. Francisci Diaz, Ordinis Fratrum Praedicatorum","La Croze, Mathurin Veyssière de",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000108,01-misc,1,
91,98,,094925054,Historia inventionis Phosphori,"Leibniz, Gottfried Wilhelm Freiherr von",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000115,01-misc,1,
118,120,,094927138,"Epistola ad Autorem Dissertationis de figuris animalium quae in lapidibus observantur, et Lithozoorum nomine venire possent [d. i. Christian Maximilian Spener]","Leibniz, Gottfried Wilhelm Freiherr von",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000142,01-misc,1,
120,122,,094954275,Nova circa Vapores Hypothesis,"Chauvin, Étienne",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000144,01-misc,1,
123,128,,094941769,"De Elevatione Vaporum, et de corporibus quae ob cavitatem inclusam in aëre natare possunt","Leibniz, Gottfried Wilhelm Freiherr von",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000147,01-misc,1,
128,131,,094947155,"Nova podagrae curatio, Ex Epistola ejus ad Praesidem","Behrens, Konrad Barthold",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000152,01-misc,1,
131,133,mit Fig. 33 und 34,09494654X,"Descriptio Luminis Borealis, quod nocte inter l et 2 Febr 1707 Hafniae visum est","Roemer, Olof",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000155,01-misc,1,
133,135,,094947376,Observatio Luminis Borealis anni 1707. Schonbergae in Vetere Marchia instituta,"Seidel, Christoph Matthaeus",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000157,01-misc,1,
135,137,mit Fig. 35,094919895,"Brevis Descriptio clari cujusdam Luminis, Anno 1707. die 6. Martii, Dominica quinquagesimae, Berolini vesperi, versus septemtrionem visi","Kirch, Gottfried",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000159,01-misc,1,
137,138,,094926727,Annotatio de Luce quam quidam Auroram Borealem vocant,"Leibniz, Gottfried Wilhelm Freiherr von",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000161,01-misc,1,
139,143,mit 1 Tafel,094957002,Recensio Itineris Alpini loan. lacobi Scheuchzeri,"Spener, Christian Maximilian",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000163,01-misc,1,
144,149,,094970998,"Excerpta ex observationibus meteorologicis perpetuis anni 1708, a J. J. Scheuchzero Tiguri habitis","Scheuchzer, Johann Jakob",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000168,01-misc,1,
149,152,,09496193X,De modo quodam peculiari condendi cadavera et picturas conservandi,Ohne Angabe Des Verfassers,1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000173,01-misc,1,
160,165,,094923582,"Symbolismus memorabilis calculi Algebraici et Infinitesimalis, in comparatione potentiarum et differentiarum; et de Lege Homogeneorum Transcendentali","Leibniz, Gottfried Wilhelm Freiherr von",1710,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000184,01-misc,1,
